year,comm_code,comm_name,service_name,n
2021,06A,06A,WATR - Erosion and Sediment Control,1
2021,06A,06A,WATR - Water Development Inquiry,1
2021,06A,06A,WATS - Location of Underground Water Lines,1
2021,06A,06A,WRS - Commercial Collection Services,1
2021,06B,06B,CFD - Fire Code and General Inquiries - FHB,1
2021,06B,06B,CFD - Occupant Load Inspection - FHB,1
2021,06B,06B,WATS - Fire Hydrant,1
2021,06C,06C,311 Contact Us,4
2021,06C,06C,Animal / Bylaw - Information Request,1
2021,06C,06C,CBS Inspection - Cancellation or Reschedule,1
2021,06C,06C,CBS Inspection - Electrical,2
2021,06C,06C,Roads - New Subdivisions,1
2021,06C,06C,Roads - Roadway Maintenance,2
2021,06C,06C,Roads - Snow and Ice Control,1
2021,06C,06C,Roads - Streetlight Maintenance,1
2021,06C,06C,TI - Connections to South West Ring Road,2
2021,06C,06C,TP - Community Traffic - Cycling - Pedestrian Inquiries,1
2021,06C,06C,WATS - Water Main Break or Leak,1
2021,06C,06C,WRS - Commercial Collection Services,2
2021,06C,06C,WRS - Waste - Residential,1
2021,09D,09D,AS - Animal at Large,1
2021,09D,09D,Bylaw - Disturbance and Behavioural Concerns,3
2021,09D,09D,Bylaw - Material on Public Property,5
2021,09D,09D,Bylaw - Temporary Signs Infraction on City Property,1
2021,09D,09D,Corporate - Encampment Concerns,33
2021,09D,09D,Corporate - Graffiti Concerns,8
2021,09D,09D,N/A,2
2021,09D,09D,Parks - Garbage - WAM,11
2021,09D,09D,Parks - Infrastructure - WAM,5
2021,09D,09D,Parks - Lost and Found - WAM,1
2021,09D,09D,Parks - Maintenance - WAM,1
2021,09D,09D,Parks - Natural Area Maintenance - WAM,3
2021,09D,09D,Parks - Pathway Concern - WAM,3
2021,09D,09D,Parks - Tree Concern - WAM,1
2021,09D,09D,Roads - Dead Animal Pick-Up,2
2021,09D,09D,Roads - Debris on Street/Sidewalk/Boulevard,2
2021,09D,09D,Roads - Pothole Maintenance,2
2021,09D,09D,Roads - Repaving Candidate Street and Inquiries,1
2021,09D,09D,Roads - Roadway Maintenance,1
2021,09D,09D,Roads - Signs - Missing - Damaged,1
2021,09D,09D,Roads - Snow and Ice Control,1
2021,09D,09D,Roads - Streetlight Maintenance,1
2021,09D,09D,Roads - Traffic or Pedestrian Light Repair,1
2021,09D,09D,Stewardship of City Owned Land,1
2021,09D,09D,TP - Future Road Planning and Upgrades,1
2021,09D,09D,WRS - Employee - Complaint Compliment,1
2021,09H,09H,311 Contact Us,1
2021,09H,09H,AS - Animal at Large,1
2021,09H,09H,Bylaw - Disturbance and Behavioural Concerns,1
2021,09H,09H,Bylaw - Material on Public Property,2
